City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,suva,-18.1416,178.4415,25.71,100,75,2.06,FJ,1712637802
210,robertsport,6.7533,-11.3686,26.84,92,77,2.69,LR,1712638059
211,isla vista,34.4133,-119.861,17.94,56,0,6.69,US,1712638059
212,pioner,55.3166,85.9508,6.69,100,40,2.0,RU,1712638060
213,altai,46.3722,96.2583,3.29,59,71,6.06,MN,1712638061
214,san juan pueblo,15.5833,-87.2333,26.42,93,77,2.19,HN,1712638062
215,gueckedou,8.6667,-10.25,22.15,99,28,1.82,GN,1712638063
216,petauke,-14.2426,31.3253,19.81,85,100,1.74,ZM,1712638064
217,ust-nera,64.5667,143.2,-5.34,83,100,2.89,RU,1712638067
218,ghormach,35.7306,63.7826,20.17,31,100,3.64,AF,1712638068
219,balasore,21.4942,86.9317,33.47,25,90,1.91,IN,1712638069
220,argo,37.6333,22.7333,13.99,50,0,2.42,GR,1712638070
221,kiziltepe,37.1933,40.585,17.2,51,75,6.69,TR,1712638071
222,mahina,-17.5065,-149.489,28.87,74,75,2.06,PF,1712638072
223,tulun,54.5611,100.5792,5.93,68,62,4.1,RU,1712638074
224,gargalianoi,37.0667,21.6333,15.2,38,0,2.17,GR,1712638075
225,muana,-1.5283,-49.2167,23.69,98,100,2.46,BR,1712638076
226,harstad,68.799,16.5293,3.78,98,100,6.71,NO,1712638077
227,prince george,53.9166,-122.753,4.69,92,100,5.14,CA,1712638077
228,lincoln city,44.9582,-124.0179,10.76,97,100,3.13,US,1712638079
229,qaqortoq,60.7167,-46.0333,-4.86,77,100,3.27,GL,1712638080
230,augusto correa,-1.0217,-46.635,23.68,100,100,0.61,BR,1712638082
231,mogocha,53.7333,119.7667,8.35,29,12,4.28,RU,1712638083
232,lulea,65.5842,22.1547,-2.96,93,0,1.03,SE,1712638085
233,sinop,41.7711,34.8709,11.3,68,15,1.05,TR,1712638086
234,sao paulo de olivenca,-3.3783,-68.8725,23.26,98,90,0.13,BR,1712638087
235,luderitz,-26.6481,15.1594,13.73,86,1,4.51,NA,1712638089
236,ma'an,26.9775,110.7211,20.74,62,91,2.44,CN,1712638090
237,tashtagol,52.7657,87.8894,10.85,96,96,1.79,RU,1712638090
238,vadso,70.0744,29.7487,-1.91,93,75,2.57,NO,1712638091
239,gizo,-8.103,156.8419,28.57,77,95,3.11,SB,1712638092
240,boa vista,2.8197,-60.6733,28.99,54,20,3.6,BR,1712638093
241,klyuchi,52.2667,79.1667,13.12,63,100,6.42,RU,1712638094
242,vallegrande,-18.4897,-64.1069,14.42,98,100,2.07,BO,1712638095
243,port alfred,-33.5906,26.891,17.32,97,97,2.24,ZA,1712638096
244,puerto rico,-26.796,-55.024,20.96,91,14,0.4,AR,1712638052
245,sao joao da barra,-21.6403,-41.0511,24.65,85,96,5.21,BR,1712638098
246,altamont,42.2068,-121.7372,7.77,69,0,1.54,US,1712638099
247,san fernando,15.0286,120.6898,34.85,26,35,3.7,PH,1712638101
248,anta,25.15,76.3,35.28,22,98,4.65,IN,1712638101
249,shijiang,27.0819,110.7933,20.97,63,90,2.07,CN,1712638102
250,verkhnevilyuysk,63.4453,120.3167,-3.08,76,25,2.0,RU,1712638103
251,nikolayevsk-on-amure,53.1406,140.73,-0.44,87,99,1.79,RU,1712638104
252,fortuna,40.5982,-124.1573,11.19,95,100,4.12,US,1712638054
253,san patricio,28.017,-97.5169,24.91,91,100,8.7,US,1712638105
254,closepet,12.7167,77.3,33.17,24,93,4.0,IN,1712638106
255,ojocaliente,21.8775,-102.6754,17.21,27,43,1.7,MX,1712638107
256,phalaborwa,-23.943,31.1411,20.6,93,100,2.53,ZA,1712638108
257,bolama,11.5833,-15.4667,23.19,60,53,2.45,GW,1712638108
258,daru,-9.0763,143.2092,29.41,75,100,1.78,PG,1712638109
259,st. john's,47.5649,-52.7093,-0.68,93,100,11.32,CA,1712637992
260,rongelap,11.1635,166.8941,26.99,82,100,9.87,MH,1712638111
261,mzimba,-11.9,33.6,18.64,92,78,1.98,MW,1712638111
262,lakeland,28.0395,-81.9498,18.93,80,0,3.09,US,1712637998
263,pocito,-31.6833,-68.5833,22.92,50,0,5.41,AR,1712638113
264,tralee,52.2704,-9.7026,6.98,69,20,8.17,IE,1712638114
265,hualien city,23.9769,121.6044,21.67,86,100,5.3,TW,1712637957
266,hithadhoo,-0.6,73.0833,29.21,71,100,1.88,MV,1712638117
267,bodo,67.28,14.405,5.99,90,75,3.6,NO,1712638118
268,yaren,-0.5472,166.916,27.41,85,94,7.97,NR,1712638119
269,suntar,62.1444,117.6319,-2.24,82,98,2.07,RU,1712638119
270,takoradi,4.8845,-1.7554,27.46,87,91,3.01,GH,1712638120
271,laojunmiao,39.8333,97.7333,11.38,16,100,3.59,CN,1712638121
272,udachny,66.4167,112.4,-5.31,70,100,10.8,RU,1712638122
273,flying fish cove,-10.4217,105.6791,29.82,70,40,5.14,CX,1712638123
274,kananga,-5.8958,22.4178,20.18,96,80,0.6,CD,1712638124
275,mantua,45.1667,10.7833,14.58,93,100,0.89,IT,1712638125
276,murzzuschlag,47.6,15.6833,10.49,88,64,2.45,AT,1712638125
277,antofagasta,-23.65,-70.4,18.6,88,65,1.79,CL,1712638126
278,glace bay,46.1969,-59.957,-1.19,90,20,0.0,CA,1712638127
279,morehead city,34.7229,-76.726,16.68,81,0,3.6,US,1712638128
280,coahuayana de hidalgo,18.7,-103.6583,20.47,80,96,1.62,MX,1712638129
281,nakskov,54.8373,11.1284,8.97,99,100,7.14,DK,1712638130
282,touros,-5.1989,-35.4608,25.07,91,99,1.93,BR,1712638023
283,priob'ye,62.5206,65.5964,-4.99,80,95,4.58,RU,1712638132
284,howrah,22.5892,88.3103,32.0,45,40,4.12,IN,1712638133
285,mount gambier,-37.8333,140.7667,14.32,50,94,4.35,AU,1712638133
286,mazatlan,23.2167,-106.4167,19.95,78,100,1.54,MX,1712638134
287,la'ie,21.6477,-157.9253,25.98,75,5,2.24,US,1712638135
288,ad-damazin,11.7891,34.3592,28.16,13,50,3.19,SD,1712638136
289,tazacorte,28.629,-17.9293,18.97,73,75,9.26,ES,1712638136
290,saint-pierre,-21.3393,55.4781,27.82,57,0,1.54,RE,1712638137
291,san luis de la loma,17.2706,-100.8939,24.41,73,85,2.97,MX,1712638138
292,biryusinsk,55.9634,97.8235,8.76,54,69,3.46,RU,1712638139
293,college,64.8569,-147.8028,1.18,71,40,2.57,US,1712638140
294,alice springs,-23.7,133.8833,24.01,30,20,6.17,AU,1712637967
295,sandpoint,48.2766,-116.5533,7.46,84,100,0.0,US,1712638032
296,arraial do cabo,-22.9661,-42.0278,25.05,84,99,8.26,BR,1712638142
297,monkey bay,-14.0728,34.9201,24.27,83,95,3.73,MW,1712638143
298,kaoma,-14.7833,24.8,18.62,96,88,1.69,ZM,1712638144
299,hirara,24.8,125.2833,22.92,94,75,9.77,JP,1712638145
300,tharangambadi,11.0319,79.8528,31.78,54,54,5.16,IN,1712638146
301,bardai,11.65,7.2333,24.29,57,83,5.02,NG,1712638147
302,soio,-6.1349,12.3689,26.37,87,90,1.91,AO,1712638148
303,hammerfest,70.6634,23.6821,-1.75,93,100,1.03,NO,1712638150
304,emerald,-23.5333,148.1667,31.86,30,32,6.38,AU,1712638150
305,tesistan,20.7833,-103.4833,20.57,35,82,1.99,MX,1712638151
306,guerrero negro,27.9769,-114.0611,14.73,68,2,6.9,MX,1712638082
307,stephenville,32.2207,-98.2023,21.44,93,100,4.63,US,1712638153
308,kem',64.9555,34.5793,1.35,100,100,3.09,RU,1712638153
309,al bayda',32.7627,21.7551,10.66,77,2,7.19,LY,1712638154
310,aketi,2.7388,23.7833,22.45,91,52,0.52,CD,1712638155
311,waingapu,-9.6567,120.2641,29.56,74,100,2.36,ID,1712638156
312,murashi,59.3999,48.9615,2.19,96,100,1.7,RU,1712638157
313,jieshou,33.2634,115.3611,22.39,47,92,3.42,CN,1712638158
314,turbat,26.0023,63.044,29.75,22,88,1.38,PK,1712638158
315,chonchi,-42.6128,-73.8092,4.56,80,5,1.42,CL,1712637987
316,sandnessjoen,66.0217,12.6316,6.06,70,40,2.57,NO,1712638160
317,cambuci,-21.5753,-41.9111,21.95,94,92,0.28,BR,1712638161
318,kijang,35.2442,129.2139,15.85,56,2,10.61,KR,1712638162
319,puerto baquerizo moreno,-0.9,-89.6,25.48,88,25,3.78,EC,1712638163
320,maintirano,-18.0667,44.0167,27.76,76,5,1.33,MG,1712638164
321,bandar lampung,-5.4254,105.258,30.39,70,89,2.78,ID,1712638165
322,erdenet,49.0333,104.0833,6.37,66,100,1.83,MN,1712638166
